Ticker,Listed Data,City,State,Number of employees,Industry,IPO Price,Current,Return,Year
MNPR,2019-12-19,WILMETTE,IL,10.0,PHARMACEUTICAL PREPARATIONS,8.0,$2.75 ,-65.63%,2019
SPT,2019-12-13,CHICAGO,IL,700.0,SERVICES-PREPACKAGED SOFTWARE,17.0,$60.96 ,258.59%,2019
BILL,2019-12-12,SAN JOSE,CA,1384.0,SERVICES-PREPACKAGED SOFTWARE,22.0,$170.28 ,674.00%,2019
LMPX,2019-12-05,FORT LAUDERDALE,FL,17.0,RETAIL-AUTO DEALERS & GASOLINE STATIONS,5.0,$7.20 ,44.00%,2019
CHPM,2020-01-10,SUMMIT,NJ,3.0,BLANK CHECKS,10.0,$10.13 ,1.30%,2020
PINE,2019-11-22,DAYTONA BEACH,FL,4.0,REAL ESTATE INVESTMENT TRUSTS,19.0,$19.25 ,1.32%,2019
SITM,2019-11-21,SANTA CLARA,CA,187.0,SEMICONDUCTORS & RELATED DEVICES,13.0,$196.18 ,1409.08%,2019
ETNB,2019-11-11,SAN FRANCISCO,CA,27.0,PHARMACEUTICAL PREPARATIONS,16.0,$5.23 ,-67.31%,2019
TELA,2019-11-08,MALVERN,PA,108.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,13.0,$11.93 ,-8.23%,2019
CNSP,2019-11-08,HOUSTON,TX,5.0,PHARMACEUTICAL PREPARATIONS,4.0,$0.47 ,-88.38%,2019
SI,2019-11-07,LA JOLLA,CA,237.0,STATE COMMERCIAL BANKS,12.0,$102.06 ,750.50%,2019
GRTX,2019-11-07,MALVERN,PA,38.0,PHARMACEUTICAL PREPARATIONS,12.0,$2.30 ,-80.83%,2019
MCMJ,2019-12-12,NEW YORK,NY,2.0,SERVICES-PREPACKAGED SOFTWARE,10.0,$6.43 ,-35.70%,2019
OYST,2019-10-31,PRINCETON,NJ,62.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",16.0,$10.72 ,-33.00%,2019
RAPT,2019-08-01,SOUTH SAN FRANCISCO,CA,81.0,PHARMACEUTICAL PREPARATIONS,12.0,$19.50 ,62.50%,2019
PHAT,2019-10-25,FLORHAM PARK,NJ,55.0,PHARMACEUTICAL PREPARATIONS,19.0,$16.29 ,-14.26%,2019
TFFP,2019-10-24,AUSTIN,TX,4.0,PHARMACEUTICAL PREPARATIONS,5.0,$5.28 ,5.60%,2019
PGNY,2019-10-25,NEW YORK,NY,210.0,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",13.0,$37.12 ,185.54%,2019
CABA,2019-10-25,PHILADELPHIA,PA,47.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",11.0,$2.88 ,-73.82%,2019
BRP,2019-10-24,TAMPA,FL,1525.0,"INSURANCE AGENTS, BROKERS & SERVICE",14.0,$28.97 ,106.93%,2019
BRBR,2019-10-17,ST. LOUIS,MO,355.0,FOOD AND KINDRED PRODUCTS,14.0,$23.69 ,69.21%,2019
VIR,2019-10-11,SAN FRANCISCO,CA,395.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",20.0,$33.46 ,67.30%,2019
HBT,2019-10-11,BLOOMINGTON,IL,747.0,STATE COMMERCIAL BANKS,16.0,$19.31 ,20.69%,2019
APRE,2019-10-03,BOSTON,MA,17.0,PHARMACEUTICAL PREPARATIONS,15.0,$2.03 ,-86.47%,2019
FREQ,2019-10-03,LEXINGTON,MA,87.0,PHARMACEUTICAL PREPARATIONS,14.0,$5.05 ,-63.93%,2019
PTON,2019-09-26,NEW YORK,NY,8662.0,"SPORTING & ATHLETIC GOODS, NEC",29.0,$24.25 ,-16.38%,2019
OPRT,2019-09-26,SAN CARLOS,CA,3149.0,FINANCE SERVICES,15.0,$16.91 ,12.73%,2019
XGN,2019-09-19,VISTA,CA,183.0,SERVICES-MEDICAL LABORATORIES,14.0,$8.75 ,-37.50%,2019
PING,2019-09-19,DENVER,CO,1022.0,SERVICES-PREPACKAGED SOFTWARE,15.0,$18.44 ,22.93%,2019
DDOG,2019-09-19,NEW YORK,NY,1085.0,SERVICES-PREPACKAGED SOFTWARE,27.0,$138.02 ,411.19%,2019
IGMS,2019-09-18,MOUNTAIN VIEW,CA,171.0,PHARMACEUTICAL PREPARATIONS,16.0,$17.00 ,6.25%,2019
NVST,2019-09-18,BREA,CA,12400.0,DENTAL EQUIPMENT & SUPPLIES,22.0,$43.18 ,96.27%,2019
SWTX,2019-09-13,STAMFORD,CT,142.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",18.0,$52.73 ,192.94%,2019
NET,2019-09-13,SAN FRANCISCO,CA,2240.0,SERVICES-PREPACKAGED SOFTWARE,15.0,$96.66 ,544.40%,2019
STSA,2019-09-13,SOUTH SAN FRANCISCO,CA,21.0,PHARMACEUTICAL PREPARATIONS,15.0,$4.89 ,-67.40%,2019
SDC,2019-09-12,NASHVILLE,TN,4000.0,DENTAL EQUIPMENT & SUPPLIES,23.0,$2.45 ,-89.35%,2019
TXG,2019-09-12,PLEASANTON,CA,290.0,LABORATORY ANALYTICAL INSTRUMENTS,39.0,$90.42 ,131.85%,2019
CFB,2019-08-15,LEAWOOD,KS,328.0,STATE COMMERCIAL BANKS,14.5,$15.75 ,8.62%,2019
KRUS,2019-08-01,IRVINE,CA,1800.0,RETAIL-EATING PLACES,14.0,$43.22 ,208.71%,2019
DT,2019-08-01,WALTHAM,MA,2779.0,SERVICES-PREPACKAGED SOFTWARE,16.0,$44.00 ,175.00%,2019
NOVA,2019-07-25,HOUSTON,TX,398.0,ELECTRIC & OTHER SERVICES COMBINED,12.0,$17.18 ,43.17%,2019
HCAT,2019-07-25,SOUTH JORDAN,UT,1000.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",26.0,$28.01 ,7.73%,2019
CSTL,2019-07-25,FRIENDSWOOD,TX,201.0,SERVICES-MEDICAL LABORATORIES,16.0,$41.70 ,160.63%,2019
IHRT,2019-05-06,SAN ANTONIO,TX,10200.0,RADIO BROADCASTING STATIONS,17.0,$19.31 ,13.59%,2019
FULC,2019-07-18,CAMBRIDGE,MA,73.0,PHARMACEUTICAL PREPARATIONS,16.0,$10.73 ,-32.94%,2019
MIRM,2019-07-18,FOSTER CITY,CA,137.0,PHARMACEUTICAL PREPARATIONS,15.0,$18.71 ,24.73%,2019
AMK,2019-07-18,CONCORD,CA,732.0,INVESTMENT ADVICE,22.0,$23.60 ,7.27%,2019
PHR,2019-07-18,RALEIGH,NC,827.0,"SERVICES-BUSINESS SERVICES, NEC",17.0,$29.22 ,71.88%,2019
THCA,2019-07-30,NEW YORK,NY,2.0,BLANK CHECKS,10.0,$10.24 ,2.40%,2019
RMBI,2019-07-02,RICHMOND,IN,170.0,STATE COMMERCIAL BANKS,10.0,$16.46 ,64.60%,2019
KRTX,2019-06-28,BOSTON,MA,63.0,PHARMACEUTICAL PREPARATIONS,16.0,$105.24 ,557.75%,2019
REAL,2019-06-28,SAN FRANCISCO,CA,2604.0,RETAIL-MISCELLANEOUS RETAIL,20.0,$8.22 ,-58.90%,2019
CHNG,2019-06-27,NASHVILLE,TN,15000.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,13.0,$19.11 ,47.00%,2019
BBIO,2019-06-27,PALO ALTO,CA,396.0,PHARMACEUTICAL PREPARATIONS,17.0,$9.81 ,-42.29%,2019
ADPT,2019-06-27,SEATTLE,WA,622.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",20.0,$15.91 ,-20.45%,2019
MORF,2019-06-27,WALTHAM,MA,101.0,PHARMACEUTICAL PREPARATIONS,15.0,$40.51 ,170.07%,2019
PSNL,2019-06-20,MENLO PARK,CA,235.0,SERVICES-MEDICAL LABORATORIES,17.0,$11.15 ,-34.41%,2019
BCEL,2019-06-20,SAN CARLOS,CA,137.0,PHARMACEUTICAL PREPARATIONS,17.0,$1.83 ,-89.24%,2019
GO,2019-06-20,EMERYVILLE,CA,946.0,RETAIL-GROCERY STORES,22.0,$25.26 ,14.82%,2019
AKRO,2019-06-20,SOUTH SAN FRANCISCO,CA,32.0,PHARMACEUTICAL PREPARATIONS,16.0,$17.39 ,8.69%,2019
STOK,2019-06-19,BEDFORD,MA,79.0,PHARMACEUTICAL PREPARATIONS,18.0,$17.30 ,-3.89%,2019
CHWY,2019-06-14,DANIA BEACH,FL,18500.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,22.0,$43.69 ,98.59%,2019
CRWD,2019-06-12,SUNNYVALE,CA,4543.0,SERVICES-PREPACKAGED SOFTWARE,34.0,$170.63 ,401.85%,2019
RVLV,2019-06-07,CERRITOS,CA,843.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,18.0,$49.57 ,175.39%,2019
IDYA,2019-05-23,SOUTH SAN FRANCISCO,CA,83.0,PHARMACEUTICAL PREPARATIONS,10.0,$15.55 ,55.50%,2019
RTLR,2019-05-23,MIDLAND,TX,676.0,NATURAL GAS TRANSMISSION,17.5,$12.49 ,-28.63%,2019
FSLY,2019-05-17,SAN FRANCISCO,CA,992.0,SERVICES-PREPACKAGED SOFTWARE,16.0,$25.56 ,59.75%,2019
AVTR,2019-05-17,RADNOR,PA,12400.0,LABORATORY ANALYTICAL INSTRUMENTS,14.0,$37.77 ,169.79%,2019
PSTL,2019-05-15,CEDARHURST,NY,25.0,REAL ESTATE INVESTMENT TRUSTS,17.0,$17.85 ,5.00%,2019
APLT,2019-05-13,NEW YORK,NY,27.0,PHARMACEUTICAL PREPARATIONS,10.0,$2.75 ,-72.50%,2019
UBER,2019-05-10,SAN FRANCISCO,CA,24700.0,"SERVICES-BUSINESS SERVICES, NEC",45.0,$34.54 ,-23.24%,2019
SONM,2019-05-10,AUSTIN,TX,263.0,TELEPHONE & TELEGRAPH APPARATUS,11.0,$0.63 ,-94.27%,2019
CRTX,2019-05-09,SOUTH SAN FRANCISCO,CA,38.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",17.0,$5.63 ,-66.88%,2019
AXLA,2019-05-09,CAMBRIDGE,MA,59.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",20.0,$1.71 ,-91.45%,2019
SPFI,2019-05-09,LUBBOCK,TX,682.0,STATE COMMERCIAL BANKS,17.5,$28.95 ,65.43%,2019
MEC,2019-05-09,MAYVILLE,WI,2150.0,METAL FORGINGS & STAMPINGS,17.0,$11.19 ,-34.18%,2019
NXTC,2019-05-09,BELTSVILLE,MD,90.0,PHARMACEUTICAL PREPARATIONS,15.0,$5.19 ,-65.40%,2019
PSN,2019-05-08,CENTREVILLE,VA,15500.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,27.0,$30.69 ,13.67%,2019
TRVI,2019-05-07,NEW HAVEN,CT,26.0,PHARMACEUTICAL PREPARATIONS,10.0,$0.65 ,-93.55%,2019
RRBI,2019-05-03,ALEXANDRIA,LA,344.0,STATE COMMERCIAL BANKS,45.0,$52.25 ,16.11%,2019
SCPL,2019-05-03,LAS VEGAS,NV,602.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,16.0,$12.49 ,-21.94%,2019
BYND,2019-05-02,EL SEGUNDO,CA,700.0,FOOD AND KINDRED PRODUCTS,25.0,$58.01 ,132.04%,2019
TMDX,2019-05-02,ANDOVER,MA,110.0,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,16.0,$14.52 ,-9.25%,2019
HOOK,2019-04-18,NEW YORK,NY,136.0,PHARMACEUTICAL PREPARATIONS,14.0,$1.30 ,-90.71%,2019
PINS,2019-04-18,SAN FRANCISCO,CA,3112.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",19.0,$24.51 ,29.00%,2019
GNLN,2019-04-18,BOCA RATON,FL,264.0,"WHOLESALE-DURABLE GOODS, NEC",17.0,$0.68 ,-95.99%,2019
ZM,2019-04-18,SAN JOSE,CA,6269.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",36.0,$137.94 ,283.17%,2019
MNRL,2019-04-18,AUSTIN,TX,43.0,CRUDE PETROLEUM & NATURAL GAS,18.0,$22.18 ,23.22%,2019
PLMR,2019-04-17,LA JOLLA,CA,122.0,"FIRE, MARINE & CASUALTY INSURANCE",15.0,$51.75 ,245.00%,2019
TPTX,2019-04-17,SAN DIEGO,CA,237.0,PHARMACEUTICAL PREPARATIONS,18.0,$35.18 ,95.44%,2019
PD,2019-04-11,SAN FRANCISCO,CA,783.0,SERVICES-PREPACKAGED SOFTWARE,24.0,$30.95 ,28.96%,2019
GHSI,2019-04-05,SAN DIEGO,CA,13.0,PHARMACEUTICAL PREPARATIONS,4.0,$0.51 ,-87.22%,2019
SILK,2019-04-04,SUNNYVALE,CA,281.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,20.0,$30.01 ,50.05%,2019
TW,2019-04-04,NEW YORK,NY,961.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",27.0,$83.72 ,210.07%,2019
NGM,2019-04-04,SOUTH SAN FRANCISCO,CA,210.0,PHARMACEUTICAL PREPARATIONS,16.0,$15.05 ,-5.94%,2019
LYFT,2019-03-29,SAN FRANCISCO,CA,4675.0,"SERVICES-BUSINESS SERVICES, NEC",72.0,$36.36 ,-49.50%,2019
DTIL,2019-03-28,DURHAM,NC,226.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",16.0,$4.36 ,-72.75%,2019
LEVI,2019-03-21,SAN FRANCISCO,CA,16600.0,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,17.0,$22.34 ,31.41%,2019
SWAV,2019-03-07,SANTA CLARA,CA,449.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,17.0,$143.94 ,746.71%,2019
KLDO,2019-02-28,BEDFORD,MA,82.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",15.0,$1.65 ,-89.00%,2019
SLGG,2019-02-26,SANTA MONICA,CA,51.0,SERVICES-AMUSEMENT & RECREATION SERVICES,11.0,$1.91 ,-82.64%,2019
HOTH,2019-02-15,NEW YORK,NY,4.0,PHARMACEUTICAL PREPARATIONS,5.6,$0.58 ,-89.61%,2019
TCRR,2019-02-14,CAMBRIDGE,MA,164.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",15.0,$2.98 ,-80.13%,2019
IMAC,2019-02-11,BRENTWOOD,TN,139.0,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",5.13,$1.25 ,-75.61%,2019
GOSS,2019-02-08,SAN DIEGO,CA,196.0,PHARMACEUTICAL PREPARATIONS,16.0,$8.62 ,-46.13%,2019
HARP,2019-02-08,SOUTH SAN FRANCISCO,CA,92.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",14.0,$4.71 ,-66.36%,2019
ALEC,2019-02-07,SOUTH SAN FRANCISCO,CA,185.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",19.0,$14.95 ,-21.32%,2019
INMB,2019-02-04,LA JOLLA,CA,5.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",8.0,$9.72 ,21.50%,2019
NFE,2019-01-31,NEW YORK,NY,231.0,NATURAL GAS DISTRIBUTION,14.0,$21.17 ,51.21%,2019
RBKB,2019-01-17,POUGHKEEPSIE,NY,43.0,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",10.0,$11.04 ,10.40%,2019
BCOW,2019-01-09,GREENFIELD,WI,96.0,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",10.0,$11.27 ,12.70%,2019
VTAQ,2021-02-05,GREENWICH,CT,4.0,BLANK CHECKS,10.0,10.05,0.50%,2021
CFIV,2021-02-16,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
GBS,2020-12-23,NEW YORK,NY,9.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,17.0,0.9,-94.71%,2020
VHAQ,2021-02-04,NORCROSS,GA,2.0,BLANK CHECKS,10.0,10.06,0.60%,2021
IKT,2020-12-23,ATLANTA,GA,3.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",10.0,1.39,-86.10%,2020
VII,2021-02-12,SAN FRANCISCO,CA,2.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
HCAR,2021-01-05,BETHESDA,MD,4.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
ACKIT,2021-02-04,CLAYMONT,DE,3.0,BLANK CHECKS,10.0,10.16,1.60%,2021
DUNE,2021-02-19,WEST PALM BEACH,FL,2.0,BLANK CHECKS,10.0,9.9,-1.00%,2021
IIII,2021-02-08,PHILADELPHIA,PA,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
GFX,2021-02-08,NEWARK,DE,3.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
MTAC,2021-02-08,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.9,-1.00%,2021
MASS,2020-12-18,BOSTON,MA,40.0,"MEASURING & CONTROLLING DEVICES, NEC",20.0,15.29,-23.55%,2020
VIRI,2020-12-17,ALPHARETTA,GA,3.0,PHARMACEUTICAL PREPARATIONS,10.0,6.46,-35.40%,2020
COOL,2021-02-08,PALO ALTO,CA,6.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
SCOA,2021-02-05,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
CCV,2021-02-05,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.79,-2.10%,2021
SCPS,2020-12-16,NEW YORK,NY,4.0,PHARMACEUTICAL PREPARATIONS,5.5,1.06,-80.73%,2020
BCAB,2020-12-16,SAN DIEGO,CA,36.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",18.0,8.03,-55.39%,2020
WISH,2020-12-16,SAN FRANCISCO,CA,875.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,24.0,2.31,-90.38%,2020
UPST,2020-12-16,SAN MATEO,CA,554.0,FINANCE SERVICES,20.0,97.93,389.65%,2020
ATA,2021-01-28,DALLAS,TX,2.0,BLANK CHECKS,10.0,10.19,1.90%,2021
KINZ,2021-02-04,PALO ALTO,CA,2.0,BLANK CHECKS,10.0,10.0,0.00%,2021
FDMT,2020-12-11,EMERYVILLE,CA,121.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",23.0,15.28,-33.57%,2020
SNRH,2021-02-01,SCOTTSDALE,AZ,4.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
VVOS,2020-12-11,HIGHLANDS RANCH,CO,147.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,6.0,2.35,-60.83%,2020
DWIN,2021-01-29,HOUSTON,TX,2.0,BLANK CHECKS,10.0,9.9,-1.00%,2021
GLAQ,2021-02-05,BOCA RATON,FL,1.0,BLANK CHECKS,10.0,10.16,1.60%,2021
CERT,2020-12-11,PRINCETON,NJ,903.0,SERVICES-PREPACKAGED SOFTWARE,23.0,25.73,11.87%,2020
MOTV,2021-02-01,NEW YORK,NY,3.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",10.0,9.92,-0.80%,2021
TVAC,2021-02-09,VALENCIA,CA,2.0,BLANK CHECKS,10.0,9.13,-8.70%,2021
CTAQ,2021-02-01,BURLINGAME,CA,3.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
HYFM,2020-12-10,FAIRLESS HILLS,PA,327.0,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,20.0,17.65,-11.75%,2020
PCPC,2021-02-01,NEW YORK,NY,4.0,BLANK CHECKS,25.0,24.43,-2.28%,2021
ABNB,2020-12-10,SAN FRANCISCO,CA,5597.0,SERVICES-TO DWELLINGS & OTHER BUILDINGS,68.0,149.57,119.96%,2020
AI,2020-12-09,REDWOOD CITY,CA,628.0,SERVICES-PREPACKAGED SOFTWARE,42.0,23.87,-43.17%,2020
DASH,2020-12-09,SAN FRANCISCO,CA,3886.0,"SERVICES-BUSINESS SERVICES, NEC",102.0,92.29,-9.52%,2020
FLAC,2021-01-29,SEATTLE,WA,4.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
PUBM,2020-12-09,REDWOOD CITY,CA,548.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",20.0,24.6,23.00%,2020
ALTU,2021-01-29,ATLANTA,GA,4.0,BLANK CHECKS,10.0,9.91,-0.95%,2021
HMCO,2021-01-28,AUSTIN,TX,4.0,BLANK CHECKS,10.0,9.79,-2.10%,2021
CND,2021-01-28,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.99,-0.10%,2021
MUDS,2021-01-29,NEW YORK,NY,4.0,RETAIL-MISCELLANEOUS RETAIL,10.0,9.97,-0.30%,2021
SBTX,2020-12-04,SEATTLE,WA,83.0,PHARMACEUTICAL PREPARATIONS,21.0,4.36,-79.24%,2020
FTCV,2021-01-25,PHILADELPHIA,PA,3.0,BLANK CHECKS,10.0,9.88,-1.20%,2021
SGTX,2020-12-04,CAMBRIDGE,MA,115.0,PHARMACEUTICAL PREPARATIONS,18.0,1.75,-90.28%,2020
PTIC,2021-01-25,WILSON,WY,1.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
SEER,2020-12-04,REDWOOD CITY,CA,60.0,LABORATORY ANALYTICAL INSTRUMENTS,19.0,15.23,-19.84%,2020
FPAC,2021-01-19,NEW YORK,NY,1.0,FINANCE SERVICES,10.0,9.94,-0.60%,2021
KNTE,2020-12-03,SAN DIEGO,CA,31.0,PHARMACEUTICAL PREPARATIONS,20.0,9.44,-52.80%,2020
BREZ,2020-12-23,IRVING,TX,5.0,BLANK CHECKS,10.0,10.25,2.50%,2020
CAS,2021-01-15,NEW YORK,NY,2.0,BLANK CHECKS,10.0,10.0,0.00%,2021
ARBG,2021-01-11,GREENWICH,CT,2.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
MRVI,2020-11-20,SAN DIEGO,CA,460.0,PHARMACEUTICAL PREPARATIONS,27.0,29.38,8.81%,2020
KWAC,2021-02-17,NEW YORK,NY,2.0,BLANK CHECKS,10.0,10.16,1.60%,2021
OCA,2021-01-12,MILLBURN,NJ,3.0,"FIRE, MARINE & CASUALTY INSURANCE",10.0,9.93,-0.70%,2021
SHC,2020-11-20,BROADVIEW HEIGHTS,OH,3000.0,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",23.0,21.29,-7.43%,2020
JYAC,2020-11-19,PALO ALTO,CA,4.0,BLANK CHECKS,10.0,9.76,-2.40%,2020
OLMA,2020-11-19,SAN FRANCISCO,CA,37.0,PHARMACEUTICAL PREPARATIONS,19.0,5.88,-69.05%,2020
TLS,2020-11-19,ASHBURN,VA,785.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,17.0,10.11,-40.53%,2020
LNFA,2021-01-07,CHICAGO,IL,2.0,BLANK CHECKS,10.0,10.06,0.60%,2021
PHIC,2021-01-08,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.79,-2.10%,2021
OTRA,2020-12-10,MIAMI,FL,2.0,BLANK CHECKS,10.0,10.16,1.60%,2020
PIPP,2021-01-07,FORT LAUDERDALE,FL,3.0,BLANK CHECKS,10.0,9.8,-2.00%,2021
ZNTE,2021-01-07,BEACHWOOD,OH,2.0,BLANK CHECKS,10.0,10.2,1.95%,2021
BWAC,2020-12-28,NEW YORK,NY,3.0,BLANK CHECKS,10.0,10.2,2.00%,2020
HAAC,2021-01-04,CAMBRIDGE,MA,2.0,BLANK CHECKS,10.0,9.79,-2.10%,2021
NOAC,2021-01-29,WESTON,MA,2.0,BLANK CHECKS,10.0,9.78,-2.20%,2021
ADOC,2020-12-10,VICTOR,NY,2.0,BLANK CHECKS,10.0,10.25,2.50%,2020
CONX,2020-12-21,LITTLETON,CO,1.0,BLANK CHECKS,10.0,9.81,-1.90%,2020
BHSE,2020-12-17,MIAMI BEACH,FL,2.0,BLANK CHECKS,10.0,10.02,0.22%,2020
SQZ,2020-10-30,WATERTOWN,MA,98.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",16.0,7.38,-53.88%,2020
JUPW,2020-10-30,JUPITER,FL,5.0,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",7.5,1.02,-86.40%,2020
AVIR,2020-10-30,BOSTON,MA,56.0,PHARMACEUTICAL PREPARATIONS,24.0,6.8,-71.67%,2020
GLTO,2020-10-29,BOSTON,MA,28.0,PHARMACEUTICAL PREPARATIONS,15.0,2.3,-84.67%,2020
ALGM,2020-10-29,MANCHESTER,NH,520.0,SEMICONDUCTORS & RELATED DEVICES,14.0,27.57,96.93%,2020
LESL,2020-10-29,PHOENIX,AZ,3700.0,"RETAIL-RETAIL STORES, NEC",17.0,20.03,17.82%,2020
BOAC,2020-12-18,DALLAS,TX,3.0,BLANK CHECKS,10.0,9.82,-1.80%,2020
ROOT,2020-10-28,COLUMBUS,OH,1007.0,"FIRE, MARINE & CASUALTY INSURANCE",27.0,1.83,-93.22%,2020
MAX,2020-10-28,LOS ANGELES,CA,117.0,"INSURANCE CARRIERS, NEC",19.0,13.17,-30.68%,2020
GATO,2020-10-28,GREENWOOD VILLAGE,CO,641.0,GOLD AND SILVER ORES,7.0,2.99,-57.29%,2020
BDSX,2020-10-28,BOULDER,CO,200.0,SERVICES-MEDICAL LABORATORIES,18.0,3.71,-79.39%,2020
MACU,2020-11-27,CORNELIUS,NC,2.0,BLANK CHECKS,10.0,10.04,0.40%,2020
LUXA,2020-12-14,NEW YOK,NY,3.0,BLANK CHECKS,10.0,9.82,-1.80%,2020
EUCR,2020-12-14,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.81,-1.90%,2020
FHTX,2020-10-23,CAMBRIDGE,MA,95.0,PHARMACEUTICAL PREPARATIONS,16.0,13.54,-15.38%,2020
BLSA,2020-10-22,BOSTON,MA,2.0,BLANK CHECKS,10.0,9.83,-1.70%,2020
MCFE,2020-10-22,SAN JOSE,CA,6916.0,SERVICES-PREPACKAGED SOFTWARE,20.0,25.79,28.95%,2020
TEKK,2020-12-14,LAS VEGAS,NV,4.0,BLANK CHECKS,10.0,9.8,-2.00%,2020
GHLD,2020-10-22,SAN DIEGO,CA,4400.0,MORTGAGE BANKERS & LOAN CORRESPONDENTS,15.0,13.3,-11.33%,2020
LFTR,2020-12-15,BOSTON,MA,5.0,BLANK CHECKS,10.0,9.8,-2.00%,2020
HIGA,2020-12-11,MIAMI,FL,4.0,BLANK CHECKS,10.0,9.83,-1.70%,2020
XPOA,2020-12-11,MIAMI,FL,3.0,BLANK CHECKS,10.0,9.8,-2.00%,2020
SRSA,2020-12-11,GREENWICH,CT,6.0,BLANK CHECKS,10.0,9.8,-2.00%,2020
HZON,2020-12-10,GREENWICH,CT,3.0,BLANK CHECKS,10.0,9.83,-1.70%,2020
HLXA,2020-10-20,BOSTON,MA,2.0,PHARMACEUTICAL PREPARATIONS,10.0,9.88,-1.20%,2020
TARS,2020-10-16,IRVINE,CA,20.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",16.0,16.74,4.59%,2020
ALGS,2020-10-16,SOUTH SAN FRANCISCO,CA,86.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",15.0,2.94,-80.40%,2020
